৫. সাহিত্য অধ্যয়ন,,,
ক্রমিক,বইয়ের নাম,link,                                                   AUDIO
১.,কর্ম পদ্ধতি-বি আই সি এস,https://shibircloud.com/pdf/kormopoddhoti.pdf,
২.,সংবিধান-বি আই সি এস,,
৩.,তাফহীমুল কুরআন এর ভূমিকা / কুরআনের মর্মকথা- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/tafhimul_quraner_vumika_v2.pdf,
৪.,কুরআনের শৈল্পিক সৌন্দর্য- সাইয়্যেদ কুতুব শহীদ,https://shibircloud.com/pdf/al_quraner_shoilpik_soundorjo.pdf,
৫.,তারীখে ইলমে হাদীস- মুফতী সাইয়্যেদ আমিমুল ইহসান,https://shibircloud.com/pdf/tarikhe-ilme-hadis.pdf,
৬.,কুরআনের চারটি মৌলিক পরিভাষা- সাইয়েদ আবুল আলা মওদূদী,https://jamaat-e-islami.org/en/publication/file/54_quraner_4_ti_moulik_porivasa.pdf,
৭.,ভাঙ্গা ও গড়া- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/vanga_o_gora_v2.pdf,https://shibircloud.com/audio/lq/vanga_o_gora.mp3
৮.,ইসলামী রেনেসাঁ আন্দোলন- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/Islami_renesa_andolon_v2.pdf,
৯.,আধুনিক যুগে ইসলামী বিপ্লব- মোহাম্মদ কামারুজ্জামান,https://shibircloud.com/pdf/adhunik_juge_islami_biplob.pdf,
১০.,ইসলামী সমাজ বিপ্লবের ধারা- সাইয়েদ কুতুব শহীদ,https://shibircloud.com/pdf/islami_shomaj_biplober_dhara.pdf,
১১.,ইসলামী সংগঠন- এ. কে. এম. নাজির আহমদ,https://shibircloud.com/pdf/islami_songgothon.pdf,
১২.,ইসলামী আন্দোলনের ভবিষ্যৎ কর্মকৌশল- আল্লামা ইউসুফ আল কারযাভী,,
১৩.,বাংলার মুসলমানদের ইতিহাস- আব্বাস আলী খান,https://shibircloud.com/pdf/banglar_musolmander_itihash.pdf,
